time,X005,X405,X1105
0.5000000000000,0.2835773180,0.7831403346E-14,0.9137060436E-39
1.000000000000,0.4624705224,0.4527086965E-13,0.3467853329E-37
1.500000000000,0.5844130540,0.1832274654E-12,0.6706770301E-36
2.000000000000,0.6720693984,0.6260025095E-12,0.8809818641E-35
2.500000000000,0.7374156059,0.1919738103E-11,0.8839495788E-34
3.000000000000,0.7873993674,0.5447166553E-11,0.7223873754E-33
3.500000000000,0.8263630623,0.1459391578E-10,0.5006843222E-32
4.000000000000,0.8571797410,0.3753159380E-10,0.3026241689E-31
4.500000000000,0.8818341222,0.9395334891E-10,0.1627936178E-30
5.000000000000,0.9017433989,0.2313771073E-09,0.7916527856E-30
5.500000000000,0.9179460882,0.5638594915E-09,0.3523306479E-29
6.000000000000,0.9312191645,0.1360775392E-08,0.1449533698E-28
6.500000000000,0.9421538598,0.3241553134E-08,0.5558532719E-28
7.000000000000,0.9511981818,0.6837864436E-08,0.2000485482E-27
7.500000000000,0.9587185477,0.1474661961E-07,0.6795369315E-27
8.000000000000,0.9649969789,0.3203412235E-07,0.2188582318E-26
8.500000000000,0.9702564880,0.6905309204E-07,0.6706826488E-26
9.000000000000,0.9746757975,0.1460287868E-06,0.1960868534E-25
9.500000000000,0.9783993156,0.3007837893E-06,0.5481079812E-25
10.00000000000,0.9815444446,0.6011770301E-06,0.1467264131E-24
10.50000000000,0.9842071281,0.1164317044E-05,0.3767182721E-24
11.00000000000,0.9864661356,0.2185110747E-05,0.9289324406E-24
11.50000000000,0.9883864071,0.3977172497E-05,0.2202809238E-23
12.00000000000,0.9900216869,0.7029474692E-05,0.5029635990E-23
12.50000000000,0.9914166095,0.1208229273E-04,0.1107052679E-22
13.00000000000,0.9926083638,0.2022590541E-04,0.2351371288E-22
13.50000000000,0.9936280273,0.3302508823E-04,0.4823523465E-22
14.00000000000,0.9945016420,0.5267163274E-04,0.9562218703E-22
14.50000000000,0.9952510859,0.8216592247E-04,0.1832406054E-21
15.00000000000,0.9958947822,0.1255270127E-03,0.3393754476E-21
15.50000000000,0.9964482790,0.1880287570E-03,0.6070161930E-21
16.00000000000,0.9969247250,0.2764573973E-03,0.1046829914E-20
16.50000000000,0.9973352610,0.3993838157E-03,0.1735631640E-20
17.00000000000,0.9976893434,0.5674414984E-03,0.2753306498E-20
17.50000000000,0.9979950125,0.7935993389E-03,0.4145521996E-20
18.00000000000,0.9982591152,0.1093416892E-02,0.5841658773E-20
18.50000000000,0.9984874910,0.1485268706E-02,0.7498417087E-20
19.00000000000,0.9986851270,0.1990524030E-02,0.8235054977E-20
19.50000000000,0.9988562880,0.2633668607E-02,0.6232531420E-20
20.00000000000,0.9990046258,0.3442356379E-02,-0.1795306581E-20
20.50000000000,0.9991332711,0.4447380816E-02,-0.2112762986E-19
21.00000000000,0.9992449104,0.5682558058E-02,-0.5909765087E-19
21.50000000000,0.9993418520,0.7184517082E-02,-0.1239567965E-18
22.00000000000,0.9994260812,0.8992395465E-02,-0.2208873109E-18
22.50000000000,0.9994993067,0.1114744287E-01,-0.3409905126E-18
23.00000000000,0.9995630010,0.1369253799E-01,-0.4342474716E-18
23.50000000000,0.9996184338,0.1667162791E-01,-0.3498540374E-18
24.00000000000,0.9996667014,0.2012910215E-01,0.2860441169E-18
24.50000000000,0.9997087502,0.2410911585E-01,0.2150048739E-17
25.00000000000,0.9997453988,0.2865487885E-01,0.6543616530E-17
25.50000000000,0.9997773552,0.3380792846E-01,0.1608448611E-16
26.00000000000,0.9998052323,0.3960740440E-01,0.3582041882E-16
26.50000000000,0.9998295612,0.4608934428E-01,0.7519037305E-16
27.00000000000,0.9998508020,0.5328601722E-01,0.1511599284E-15
27.50000000000,0.9998693541,0.6122531187E-01,0.2931930097E-15
28.00000000000,0.9998855640,0.6993019306E-01,0.7043823992E-15
28.50000000000,0.9998997327,0.7941823930E-01,0.1576613921E-14
29.00000000000,0.9999121215,0.8970127063E-01,0.3348752757E-14
29.50000000000,0.9999229578,0.1007850735,0.6855618517E-14
30.00000000000,0.9999324394,0.1126692269,0.1362701425E-13
30.50000000000,0.9999407382,0.1253470305,0.2641639468E-13
31.00000000000,0.9999480042,0.1388055343,0.5009469301E-13
31.50000000000,0.9999543678,0.1530256647,0.9314109055E-13
32.00000000000,0.9999599428,0.1679824427,0.1700933705E-12
32.50000000000,0.9999648282,0.1836452850,0.3055223535E-12
33.00000000000,0.9999691107,0.1999783796,0.5403959928E-12
33.50000000000,0.9999728655,0.2169411261,0.9421451064E-12
34.00000000000,0.9999761587,0.2344886279,0.1620396409E-11
34.50000000000,0.9999790477,0.2525722277,0.2751285019E-11
35.00000000000,0.9999815827,0.2711400718,0.4614614213E-11
35.50000000000,0.9999838077,0.2901376942,0.7650051128E-11
36.00000000000,0.9999857611,0.3095086088,0.1254124104E-10
36.50000000000,0.9999874763,0.3291948995,0.2034046279E-10
37.00000000000,0.9999889829,0.3491377991,0.3265158876E-10
37.50000000000,0.9999903064,0.3692782492,0.5189611174E-10
38.00000000000,0.9999914693,0.3895574329,0.8169643883E-10
38.50000000000,0.9999924914,0.4099172747,0.1274232625E-09
39.00000000000,0.9999933899,0.4303009035,0.1969705134E-09
39.50000000000,0.9999941799,0.4506530730,0.3018433049E-09
40.00000000000,0.9999948746,0.4709205380,0.4586727701E-09
40.50000000000,0.9999954857,0.4910523852,0.6913084261E-09
41.00000000000,0.9999960233,0.5110003158,0.1033685664E-08
41.50000000000,0.9999964963,0.5307188827,0.1533725489E-08
42.00000000000,0.9999969126,0.5501656802,0.2258598479E-08
42.50000000000,0.9999972790,0.5693014895,0.3301778219E-08
43.00000000000,0.9999976015,0.5880903822,0.4792424860E-08
43.50000000000,0.9999978856,0.6064997823,0.6907780958E-08
44.00000000000,0.9999981357,0.6245004920,0.9889433935E-08
44.50000000000,0.9999983560,0.6420666824,0.1406450734E-07
45.00000000000,0.9999985501,0.6591758531,0.1987309191E-07
45.50000000000,0.9999987211,0.6758087649,0.2790352293E-07
46.00000000000,0.9999988718,0.6919493471,0.3893745872E-07
46.50000000000,0.9999990046,0.7075845849,0.5400712191E-07
47.00000000000,0.9999991217,0.7227043881,0.7446753691E-07
47.50000000000,0.9999992249,0.7373014462,0.1020871397E-06
48.00000000000,0.9999993159,0.7513710717,0.1391607541E-06
48.50000000000,0.9999993961,0.7649110342,0.1886496281E-06
49.00000000000,0.9999994669,0.7779213895,0.2543540070E-06
49.50000000000,0.9999995293,0.7904043043,0.3411245918E-06
50.00000000000,0.9999995844,0.8023638797,0.4551201863E-06
50.50000000000,0.9999996330,0.8138059749,0.6041198829E-06
51.00000000000,0.9999996758,0.8247380339,0.7978992621E-06
51.50000000000,0.9999997137,0.8351689145,0.1048681281E-05
52.00000000000,0.9999997470,0.8451087240,0.1371673796E-05
52.50000000000,0.9999997765,0.8545686592,0.1785706986E-05
53.00000000000,0.9999998025,0.8635608545,0.2313985294E-05
53.50000000000,0.9999998255,0.8720982371,0.2984969881E-05
54.00000000000,0.9999998458,0.8801943903,0.3833408948E-05
54.50000000000,0.9999998637,0.8878634256,0.4901534604E-05
55.00000000000,0.9999998795,0.8951198628,0.6240446202E-05
55.50000000000,0.9999998935,0.9019785199,0.7911701215E-05
56.00000000000,0.9999999059,0.9084544110,0.9989135718E-05
56.50000000000,0.9999999168,0.9145626532,0.1256093732E-04
57.00000000000,0.9999999264,0.9203183824,0.1573199399E-04
57.50000000000,0.9999999349,0.9257366770,0.1962654243E-04
58.00000000000,0.9999999424,0.9308324898,0.2439113965E-04
58.50000000000,0.9999999491,0.9356205875,0.3019798092E-04
59.00000000000,0.9999999550,0.9401154979,0.3724858637E-04
59.50000000000,0.9999999602,0.9443314635,0.4577787720E-04
60.00000000000,0.9999999648,0.9482824019,0.5605866054E-04
60.50000000000,0.9999999688,0.9519818726,0.6840653966E-04
61.00000000000,0.9999999724,0.9554430487,0.8318526301E-04
61.50000000000,0.9999999756,0.9586786945,0.1008125223E-03
62.00000000000,0.9999999784,0.9617011476,0.1217662052E-03
62.50000000000,0.9999999809,0.9645223055,0.1465911039E-03
63.00000000000,0.9999999831,0.9671536163,0.1759060743E-03
63.50000000000,0.9999999850,0.9696060723,0.2104116365E-03
64.00000000000,0.9999999867,0.9718902081,0.2508979985E-03
64.50000000000,0.9999999883,0.9740161002,0.2982534784E-03
65.00000000000,0.9999999896,0.9759933702,0.3534732952E-03
65.50000000000,0.9999999908,0.9778311893,0.4176686870E-03
66.00000000000,0.9999999919,0.9795382859,0.4920763085E-03
66.50000000000,0.9999999928,0.9811229534,0.5780678535E-03
67.00000000000,0.9999999936,0.9825930609,0.6771598359E-03
67.50000000000,0.9999999943,0.9839560638,0.7910234576E-03
68.00000000000,0.9999999950,0.9852190161,0.9214944812E-03
68.50000000000,0.9999999956,0.9863885835,0.1070583020E-02
69.00000000000,0.9999999961,0.9874710565,0.1240483146E-02
69.50000000000,0.9999999965,0.9884723645,0.1433582219E-02
70.00000000000,0.9999999969,0.9893980902,0.1652469822E-02
70.50000000000,0.9999999973,0.9902534835,0.1899946186E-02
